TITULO DEL PROYECTO,MUNICIPIO,FECHA,CATEGORIA,Unnamed: 4,COORDENADAS,LAT,LON,LAT_MUNICIPIO,LON_MUNICIPIO,LAT_GENERADA,LON_GENERADA
"DOCUMENTO AMBIENTAL PARA LA EVALUACIÓN DE IMPACTO AMBIENTAL DEL PROYECTO CONSOLIDACIÓN Y MEJORA DE LOS REGADÍOS DEL VALLE DE GÜÍMAR, TT.MM. DE GÜÍMAR, ARAFO Y CANDELARIA: RED DE RIEGO DE AGUAS REGENERADAS, 1ª FASE (TENERIFE).",GÜIMAR,EN REDACCION,MEDIOAMBIENTE,,"28.291565, -16.629129",28.291565,-16.629129,28.495565,-16.425129000000002,28.495565,-16.425129000000002
"DOCUMENTO AMBIENTAL PARA LA EVALUACIÓN DE IMPACTO AMBIENTAL SIMPLIFICADA DEL PROYECTO DE DE PARQUE REGENERATIVO UNDERWATER GARDEN PARK TENERIFE. (GUÍA DE ISORA, TENERIFE)",GUIA DE ISORA,EN REDACCION,MEDIOAMBIENTE,,"28.293565, -16.627129",28.293565,-16.627129,28.473031666666667,-16.447662333333334,28.473031666666667,-16.447662333333334
"DOCUMENTO AMBIENTAL PARA LA EVALUACIÓN DE IMPACTO AMBIENTAL DE CANTERA EL POZITO (VILLA DE MAZO, LA PALMA).",VILLA DE MAZO,EN REDACCION,MEDIOAMBIENTE,,"28.666700, -17.866700",28.6667,-17.8667,28.6897,-17.843700000000002,28.6897,-17.843700000000002
"ESTUDIO ANUAL DE FAUNA DEL ÁMBITO DEL PROYECTO DE INTERÉS INSULAR PARQUE REGENERATIVO UNDERWATER GARDENS PARK TENERIFE (PUNTA BLANCA, GUÍA DE ISORA, TENERIFE)",GUIA DE ISORA,EN REDACCION,MEDIOAMBIENTE,,"28.295565, -16.625129",28.295565,-16.625129,28.473031666666667,-16.447662333333334,28.473031666666667,-16.447662333333334
DOCUMENTO AMBIENTAL PARA LA EVALUACIÓN DE IMPACTO AMBIENTAL DE PROYECTO PARQUE INUNDABLE SAN CRISTÓBAL DE LA LAGUNA (TENERIFE),SAN CRISTOBAL DE LA LAGUNA,EN REDACCION,MEDIOAMBIENTE,,"28.297565, -16.623129",28.297565,-16.623129,28.51233423076923,-16.408359769230767,28.51233423076923,-16.408359769230767
"DOCUMENTO AMBIENTAL PARA LA EVALUACIÓN DE IMPACTO AMBIENTAL DEL PROYECTO DE EXPLOTACIÓN DE LAPILLI “LA MESITA” (GRANADILLA DE ABONA, TENERIFE)",GRANADILLA DE ABONA,EN REDACCION,MEDIOAMBIENTE,,"28.299565, -16.621129",28.299565,-16.621129,28.416898333333336,-16.503795666666665,28.416898333333336,-16.503795666666665
"REDACCIÓN DE DOCUMENTO AMBIENTAL DE PROYECTO PROTECCIÓN DE LITORAL (TAZACORTE, LA PALMA)",TAZACORTE,EN REDACCION,MEDIOAMBIENTE,,"28.668700, -17.864700",28.6687,-17.8647,28.667321666666666,-17.328509666666665,28.667321666666666,-17.328509666666665
"EVALUACIÓN DE IMPACTO AMBIENTAL Y ASESORAMIENTO TERRITORIAL EN EL REDACCIÓN DEL PROYECTO DE INTERCAMBIADOR DE LOS CRISTIANOS Y SOTERRAMIENTO DE LA AVENIDA CHAYOFITA, TM DE ARONA. Proyecto redactado por: Palerm & Tabares de Nava Arquitectos S.L.P.",ARONA,EN REDACCION,MEDIOAMBIENTE,,"28.301565, -16.619129",28.301565,-16.619129,28.319565,-16.601129,28.319565,-16.601129
"COLABORACIÓN COMO ASESOR AMBIENTAL EN EL PROYECTO DE MEJORA DE LAS INFRAESTRUCTURAS Y DESARROLLO DEL PRODUCTO BIRD WATCHING (LOTE 3: COMARCA DEL SURESTE, TENERIFE, ISLAS CANARIAS). Proyecto redactado por: Burgos & Garrido Arquitectos.",FASNIA,EN REDACCION,MEDIOAMBIENTE,,"28.303565, -16.617129",28.303565,-16.617129,28.303565,-16.617129,28.303565,-16.617129
DOCUMENTO AMBIENTAL PARA LA EVALUACIÓN DE IMPACTO AMBIENTAL SIMPLIFICADA DEL PROYECTO DE REDUCCIÓN DE RIESGO DE DESPRENDIMIENTOS EN LA PLAYA DE BENIJO. T.M. DE SANTA CRUZ DE TENERIFE,SANTA CRUZ DE TENERIFE,2025,MEDIOAMBIENTE,,"28.305565, -16.615129",28.305565,-16.615129,28.583479893617024,-16.33721410638298,28.583479893617024,-16.33721410638298
